label,lat,lon,input,to,from
1485770446,53.37128,-6.4883,0.0,3687.0,3411.0
664490914,53.27938,-6.4454,0.0,4581.0,4083.0
335579068,53.28043,-6.44502,0.0,4513.0,4015.0
597697553,53.34069,-6.43222,0.0,3031.0,2989.0
1425052213,53.28285,-6.42305,0.0,3501.0,4571.0
263367123,53.34761,-6.422,0.0,3470.0,3057.0
765685571,53.39279,-6.42036,0.0,3690.0,4574.0
1264001281,53.34762,-6.4078,0.0,3896.0,3519.0
658999939,53.40303,-6.39849,0.0,3621.0,4358.0
1512943351,53.34434,-6.39799,0.0,3249.0,3040.0
988852242,53.3938,-6.39107,0.0,3158.0,3898.0
1076642051,53.2864,-6.3904,0.0,2994.0,3454.0
988852237,53.39173,-6.38824,0.0,3361.0,3978.0
681465300,53.35403,-6.38735,0.0,2947.0,2931.0
1532673674,53.39083,-6.38526,0.0,3409.0,3796.0
138099058,53.41998,-6.38205,0.0,4144.0,4857.0
1171035974,53.38878,-6.38084,0.0,3073.0,3647.0
681467039,53.35019,-6.37994,0.0,2515.0,2680.0
249338235,53.38618,-6.37881,0.0,3197.0,3713.0
983302034,53.28347,-6.37591,0.0,2173.0,2724.0
770873264,53.28699,-6.37304,0.0,2353.0,2969.0
1420913522,53.27591,-6.3663,0.0,2201.0,2672.0
1424006106,53.2988,-6.35987,0.0,2508.0,2424.0
662301991,53.28119,-6.34189,0.0,1726.0,2179.0
778170439,53.32411,-6.33613,0.0,1572.0,1629.0
441233509,53.37632,-6.33313,0.0,3331.0,3588.0
1494358165,53.29912,-6.32152,0.0,1452.0,2350.0
335980360,53.33933,-6.31991,0.0,1869.0,1941.0
1500501199,53.31555,-6.31833,0.0,967.0,1293.0
257168820,53.39869,-6.3046,0.0,3102.0,3446.0
739965045,53.40314,-6.30313,0.0,3266.0,3543.0
147086244,53.33032,-6.30131,0.0,1410.0,1664.0
1500342036,53.29068,-6.29845,0.0,2151.0,2149.0
975302715,53.34433,-6.29697,0.0,1843.0,1903.0
1425374426,53.29747,-6.29678,0.0,1209.0,1579.0
1430847123,53.33069,-6.29624,0.0,1268.0,1531.0
1426100407,53.33664,-6.28749,0.0,1313.0,1274.0
325783580,53.35631,-6.28675,0.0,1685.0,1938.0
518893601,53.34699,-6.28235,0.0,1502.0,1320.0
1426048603,53.34315,-6.28023,0.0,1191.0,1099.0
559286282,53.34852,-6.27957,0.0,1540.0,1453.0
1226171155,53.34275,-6.27878,0.0,1153.0,1012.0
370213860,53.34929,-6.27839,0.0,1660.0,1620.0
768519995,53.34964,-6.27673,0.0,1773.0,1576.0
584990883,53.33789,-6.27668,0.0,777.0,737.0
956048077,53.3623,-6.27316,0.0,1871.0,2104.0
659803043,53.28966,-6.26781,0.0,1837.0,1435.0
971982648,53.34652,-6.2675,0.0,1141.0,1127.0
564413752,53.32227,-6.2659,0.0,1137.0,827.0
507962496,53.27766,-6.2657,0.0,1457.0,1439.0
582754944,53.35086,-6.26563,0.0,1756.0,1818.0
470326920,53.35042,-6.26559,0.0,1719.0,1826.0
1496722630,53.38562,-6.2655,0.0,2369.0,3072.0
706180236,53.32533,-6.26534,0.0,1037.0,893.0
646873365,53.3362,-6.26526,0.0,588.0,726.0
974547643,53.34762,-6.26524,0.0,1375.0,1334.0
311344008,53.34807,-6.26522,0.0,1388.0,1366.0
631980968,53.34689,-6.2651,0.0,1301.0,1254.0
739756782,53.33415,-6.26502,0.0,551.0,604.0
932249272,53.32338,-6.26492,0.0,1144.0,890.0
1426048599,53.32527,-6.26482,0.0,1023.0,879.0
311343801,53.34844,-6.26432,0.0,1354.0,1356.0
311994584,53.3429,-6.2642,0.0,921.0,983.0
434379754,53.35156,-6.26381,0.0,1610.0,1717.0
1350207393,53.35749,-6.26357,0.0,1907.0,1832.0
700430922,53.35123,-6.26341,0.0,1579.0,1686.0
446781985,53.34313,-6.26341,0.0,960.0,1022.0
434379755,53.35109,-6.26327,0.0,1566.0,1673.0
1350207380,53.35948,-6.26126,0.0,2081.0,2106.0
1430847286,53.33979,-6.26114,0.0,1065.0,1193.0
1496743860,53.40394,-6.2607,0.0,3670.0,4166.0
1416733988,53.29645,-6.26028,0.0,2030.0,1509.0
1155686452,53.34567,-6.26016,0.0,1155.0,1110.0
677596889,53.35031,-6.26013,0.0,1297.0,1406.0
566516597,53.35486,-6.25721,0.0,1797.0,1863.0
565749701,53.32106,-6.25608,0.0,1799.0,1974.0
311990203,53.32572,-6.25506,0.0,1630.0,1380.0
907043575,53.35317,-6.25465,0.0,1767.0,1877.0
492027541,53.36937,-6.25404,0.0,2817.0,2324.0
560470679,53.35116,-6.25241,0.0,1741.0,1658.0
1430846981,53.33786,-6.25173,0.0,1763.0,1901.0
796766070,53.29059,-6.24542,0.0,2255.0,1753.0
281174464,53.34331,-6.24415,0.0,1566.0,1452.0
387223332,53.34887,-6.24372,0.0,1663.0,1928.0
524319289,53.45211,-6.24349,0.0,4602.0,4843.0
681742375,53.39881,-6.24315,0.0,3701.0,3227.0
1416734129,53.28679,-6.24218,0.0,2701.0,3241.0
648004328,53.32415,-6.24011,0.0,2156.0,2503.0
281174255,53.34324,-6.23883,0.0,1703.0,1535.0
1508870446,53.37055,-6.23878,0.0,2405.0,2779.0
296449236,53.44664,-6.23808,0.0,4614.0,4767.0
683113636,53.30521,-6.23662,0.0,2417.0,1960.0
291594604,53.34028,-6.23624,0.0,1826.0,1642.0
296511406,53.471,-6.23167,0.0,5381.0,5978.0
966238363,53.39775,-6.23018,0.0,3539.0,3734.0
473396241,53.46263,-6.22967,0.0,4901.0,4571.0
312568603,53.3412,-6.22612,0.0,2090.0,2084.0
445514567,53.27653,-6.22383,0.0,4803.0,3934.0
681742416,53.4543,-6.22353,0.0,4452.0,4477.0
1038260891,53.26084,-6.22055,0.0,5959.0,6293.0
1399840315,53.4571,-6.21969,0.0,5100.0,4343.0
445513724,53.27828,-6.21646,0.0,4462.0,3540.0
312572517,53.33318,-6.21634,0.0,2307.0,2431.0
1529996831,53.38325,-6.2151,0.0,3032.0,2999.0
447824519,53.37036,-6.20642,0.0,2551.0,2766.0
1426131461,53.61308,-6.20621,0.0,-1.0,-1.0
1420119533,53.28896,-6.20075,0.0,3267.0,3387.0
443123777,53.44551,-6.20067,0.0,5647.0,4581.0
1520326681,53.28818,-6.19849,0.0,3193.0,3313.0
959243529,53.25921,-6.19767,0.0,5849.0,5542.0
1324451175,53.60728,-6.19693,0.0,-1.0,-1.0
410715220,53.36163,-6.19473,0.0,3018.0,2841.0
859123855,53.39611,-6.18919,0.0,3330.0,3561.0
560621652,53.6118,-6.18641,0.0,10820.0,8004.0
560621651,53.60933,-6.18292,0.0,10581.0,7765.0
1425999502,53.30075,-6.18184,0.0,-1.0,-1.0
1425999503,53.30162,-6.17988,0.0,3298.0,3295.0
187768500,53.40096,-6.17969,0.0,4063.0,-1.0
560623701,53.60545,-6.1795,0.0,10134.0,7424.0
595561961,53.40488,-6.17841,0.0,3540.0,3657.0
482112992,53.38869,-6.16715,0.0,3555.0,3808.0
948922429,53.38116,-6.16552,0.0,3646.0,3761.0
486683288,53.52625,-6.16414,0.0,5667.0,4181.0
946026574,53.39462,-6.16227,0.0,3759.0,4025.0
598161758,53.39462,-6.16227,0.0,3759.0,4025.0
474728394,53.26606,-6.15989,0.0,3893.0,4105.0
689479301,53.48679,-6.1489,0.0,5647.0,6070.0
982264606,53.45061,-6.14349,0.0,6144.0,5176.0
482112375,53.38817,-6.14044,0.0,4248.0,4183.0
610843615,53.293,-6.1393,0.0,3974.0,4251.0
1411222303,53.26749,-6.13558,0.0,4783.0,4830.0
479986267,53.58149,-6.13531,0.0,8513.0,6022.0
1425999504,53.29229,-6.1352,0.0,3987.0,4326.0
1411222305,53.25648,-6.13421,0.0,4245.0,5208.0
523863154,53.43469,-6.13044,0.0,5116.0,4976.0
1430145811,53.39004,-6.1098,0.0,4514.0,4338.0
472694728,53.57069,-6.10598,0.0,7963.0,5425.0
946860375,53.37255,-6.05876,0.0,5195.0,4940.0
