label,lat,lon,input,to,from
1485770446,53.37128,-6.4883,0.0,4108.0,3779.0
664490914,53.27938,-6.4454,0.0,2636.0,4451.0
335579068,53.28043,-6.44502,0.0,2568.0,4383.0
597697553,53.34069,-6.43222,0.0,2719.0,2418.0
1425052213,53.28285,-6.42305,0.0,3579.0,3700.0
263367123,53.34761,-6.422,0.0,3265.0,2764.0
765685571,53.39279,-6.42036,0.0,4351.0,5182.0
1264001281,53.34762,-6.4078,0.0,2858.0,2197.0
658999939,53.40303,-6.39849,0.0,4882.0,5062.0
1512943351,53.34434,-6.39799,0.0,2259.0,2046.0
988852242,53.3938,-6.39107,0.0,3819.0,4266.0
1076642051,53.2864,-6.3904,0.0,2066.0,3366.0
988852237,53.39173,-6.38824,0.0,4022.0,4709.0
681465300,53.35403,-6.38735,0.0,2922.0,3839.0
1532673674,53.39083,-6.38526,0.0,4612.0,4584.0
138099058,53.41998,-6.38205,0.0,5405.0,5225.0
1171035974,53.38878,-6.38084,0.0,4242.0,4555.0
681467039,53.35019,-6.37994,0.0,1809.0,1715.0
249338235,53.38618,-6.37881,0.0,4366.0,4621.0
983302034,53.28347,-6.37591,0.0,2347.0,2566.0
770873264,53.28699,-6.37304,0.0,2146.0,2279.0
1420913522,53.27591,-6.3663,0.0,2685.0,3117.0
1424006106,53.2988,-6.35987,0.0,1896.0,1759.0
662301991,53.28119,-6.34189,0.0,2210.0,2808.0
778170439,53.32411,-6.33613,0.0,720.0,664.0
441233509,53.37632,-6.33313,0.0,4652.0,4076.0
1494358165,53.29912,-6.32152,0.0,1143.0,966.0
335980360,53.33933,-6.31991,0.0,1669.0,1842.0
1500501199,53.31555,-6.31833,0.0,591.0,379.0
257168820,53.39869,-6.3046,0.0,3966.0,4234.0
739965045,53.40314,-6.30313,0.0,3668.0,4391.0
147086244,53.33032,-6.30131,0.0,898.0,1021.0
1500342036,53.29068,-6.29845,0.0,2515.0,2096.0
975302715,53.34433,-6.29697,0.0,2264.0,1898.0
1425374426,53.29747,-6.29678,0.0,1687.0,1817.0
1430847123,53.33069,-6.29624,0.0,995.0,1064.0
1426100407,53.33664,-6.28749,0.0,1140.0,1384.0
325783580,53.35631,-6.28675,0.0,2466.0,2606.0
518893601,53.34699,-6.28235,0.0,2209.0,2135.0
1426048603,53.34315,-6.28023,0.0,1580.0,1548.0
559286282,53.34852,-6.27957,0.0,2247.0,2324.0
1226171155,53.34275,-6.27878,0.0,1535.0,1503.0
370213860,53.34929,-6.27839,0.0,2285.0,2414.0
768519995,53.34964,-6.27673,0.0,2194.0,2513.0
584990883,53.33789,-6.27668,0.0,1296.0,1237.0
956048077,53.3623,-6.27316,0.0,2352.0,3192.0
659803043,53.28966,-6.26781,0.0,1621.0,1944.0
971982648,53.34652,-6.2675,0.0,1803.0,1959.0
564413752,53.32227,-6.2659,0.0,1413.0,1062.0
507962496,53.27766,-6.2657,0.0,1821.0,2088.0
582754944,53.35086,-6.26563,0.0,2612.0,2549.0
470326920,53.35042,-6.26559,0.0,2630.0,2557.0
1496722630,53.38562,-6.2655,0.0,3390.0,3639.0
706180236,53.32533,-6.26534,0.0,1443.0,1068.0
646873365,53.3362,-6.26526,0.0,1811.0,1615.0
974547643,53.34762,-6.26524,0.0,2010.0,2187.0
311344008,53.34807,-6.26522,0.0,2042.0,2200.0
631980968,53.34689,-6.2651,0.0,1930.0,2086.0
739756782,53.33415,-6.26502,0.0,1780.0,1493.0
932249272,53.32338,-6.26492,0.0,1414.0,1065.0
1426048599,53.32527,-6.26482,0.0,1441.0,1054.0
311343801,53.34844,-6.26432,0.0,2069.0,2166.0
311994584,53.3429,-6.2642,0.0,1812.0,1807.0
434379754,53.35156,-6.26381,0.0,2511.0,2448.0
1350207393,53.35749,-6.26357,0.0,2748.0,2440.0
700430922,53.35123,-6.26341,0.0,2480.0,2417.0
446781985,53.34313,-6.26341,0.0,1806.0,1844.0
434379755,53.35109,-6.26327,0.0,2467.0,2404.0
1350207380,53.35948,-6.26126,0.0,2726.0,2714.0
1430847286,53.33979,-6.26114,0.0,2142.0,2038.0
1496743860,53.40394,-6.2607,0.0,3791.0,5254.0
1416733988,53.29645,-6.26028,0.0,1773.0,2091.0
1155686452,53.34567,-6.26016,0.0,1853.0,1926.0
677596889,53.35031,-6.26013,0.0,2198.0,2129.0
566516597,53.35486,-6.25721,0.0,2443.0,2651.0
