label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,666.0,713.0
664134262_bank,53.36417,-6.48574,0.0,667.0,714.0
269516693_bank,53.35641,-6.45094,0.0,525.0,576.0
506821883_bank,53.35699,-6.45033,0.0,565.0,616.0
506820008_bank,53.35732,-6.45005,0.0,547.0,595.0
836241894_bank,53.35904,-6.44599,0.0,527.0,572.0
1421925391_bank,53.35348,-6.39078,0.0,448.0,533.0
640777155_bank,53.40558,-6.37846,0.0,-1.0,-1.0
142681157_bank,53.38586,-6.37425,0.0,175.0,233.0
325750297_bank,53.35565,-6.36908,0.0,351.0,449.0
848714318_bank,53.35134,-6.36786,0.0,338.0,432.0
292365438_bank,53.28717,-6.36251,0.0,733.0,774.0
292365522_bank,53.2872,-6.36183,0.0,722.0,763.0
292369382_bank,53.28806,-6.35729,0.0,708.0,749.0
1121462423_bank,53.34258,-6.35379,0.0,506.0,569.0
458220912_bank,53.28167,-6.34014,0.0,843.0,889.0
702781376_bank,53.3164,-6.31716,0.0,772.0,814.0
882292484_bank,53.32769,-6.30754,0.0,741.0,704.0
282964752_bank,53.29873,-6.30271,0.0,723.0,861.0
1425374411_bank,53.29635,-6.29748,0.0,818.0,933.0
1425374419_bank,53.29696,-6.29713,0.0,846.0,933.0
1425374423_bank,53.2983,-6.28611,0.0,841.0,831.0
1425374408_bank,53.2998,-6.2848,0.0,890.0,802.0
1425374425_bank,53.29998,-6.28404,0.0,898.0,810.0
1430846964_bank,53.30965,-6.28386,0.0,798.0,710.0
1020103388_bank,53.36128,-6.28355,0.0,276.0,206.0
632707895_bank,53.34655,-6.27925,0.0,426.0,368.0
632644411_bank,53.34643,-6.27814,0.0,427.0,363.0
849784690_bank,53.33232,-6.27428,0.0,596.0,506.0
972063358_bank,53.36108,-6.27293,0.0,315.0,290.0
972063361_bank,53.36125,-6.27292,0.0,300.0,275.0
970300216_bank,53.36116,-6.27249,0.0,320.0,291.0
262397827_bank,53.36083,-6.27172,0.0,307.0,237.0
442397196_bank,53.34853,-6.26905,0.0,426.0,398.0
739766942_bank,53.33617,-6.26556,0.0,587.0,481.0
715732955_bank,53.3226,-6.26548,0.0,727.0,620.0
739756788_bank,53.33564,-6.26546,0.0,598.0,492.0
