label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,2081.0,2155.0
664134262_bank,53.36417,-6.48574,0.0,2056.0,2200.0
269516693_bank,53.35641,-6.45094,0.0,1187.0,1550.0
506821883_bank,53.35699,-6.45033,0.0,1227.0,1590.0
506820008_bank,53.35732,-6.45005,0.0,1250.0,1613.0
836241894_bank,53.35904,-6.44599,0.0,1471.0,2151.0
1421925391_bank,53.35348,-6.39078,0.0,1812.0,1169.0
640777155_bank,53.40558,-6.37846,0.0,5427.0,5051.0
142681157_bank,53.38586,-6.37425,0.0,3913.0,3622.0
325750297_bank,53.35565,-6.36908,0.0,1500.0,1244.0
848714318_bank,53.35134,-6.36786,0.0,1689.0,1334.0
292365438_bank,53.28717,-6.36251,0.0,3817.0,3313.0
292365522_bank,53.2872,-6.36183,0.0,3806.0,3302.0
292369382_bank,53.28806,-6.35729,0.0,3678.0,3057.0
1121462423_bank,53.34258,-6.35379,0.0,2197.0,2222.0
458220912_bank,53.28167,-6.34014,0.0,4445.0,4015.0
702781376_bank,53.3164,-6.31716,0.0,3354.0,2948.0
882292484_bank,53.32769,-6.30754,0.0,2528.0,2159.0
282964752_bank,53.29873,-6.30271,0.0,3620.0,4496.0
1425374411_bank,53.29635,-6.29748,0.0,4208.0,4521.0
1425374419_bank,53.29696,-6.29713,0.0,4265.0,4573.0
1425374423_bank,53.2983,-6.28611,0.0,3889.0,4057.0
1425374408_bank,53.2998,-6.2848,0.0,3930.0,3974.0
1425374425_bank,53.29998,-6.28404,0.0,3882.0,3926.0
1430846964_bank,53.30965,-6.28386,0.0,3346.0,3630.0
1020103388_bank,53.36128,-6.28355,0.0,3330.0,2791.0
632707895_bank,53.34655,-6.27925,0.0,2030.0,2052.0
632644411_bank,53.34643,-6.27814,0.0,1968.0,2071.0
849784690_bank,53.33232,-6.27428,0.0,2941.0,2571.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,3610.0,3031.0
262397827_bank,53.36083,-6.27172,0.0,3352.0,3280.0
442397196_bank,53.34853,-6.26905,0.0,2221.0,2193.0
739766942_bank,53.33617,-6.26556,0.0,3109.0,2487.0
715732955_bank,53.3226,-6.26548,0.0,3141.0,3442.0
739756788_bank,53.33564,-6.26546,0.0,3153.0,2503.0
778699202_bank,53.33238,-6.26493,0.0,2987.0,2707.0
467744836_bank,53.3523,-6.26175,0.0,2565.0,2515.0
467744900_bank,53.3599,-6.26142,0.0,3140.0,2690.0
445431810_bank,53.34109,-6.26075,0.0,2512.0,2246.0
1348371072_bank,53.3439,-6.26065,0.0,2283.0,2225.0
560989708_bank,53.3432,-6.25961,0.0,2451.0,2163.0
1123319211_bank,53.34852,-6.25936,0.0,2487.0,2306.0
279912238_bank,53.34798,-6.25913,0.0,2522.0,2341.0
1348370985_bank,53.34772,-6.259,0.0,2513.0,2364.0
441995191_bank,53.36325,-6.25782,0.0,3401.0,3268.0
641232440_bank,53.36694,-6.25562,0.0,3150.0,2861.0
564076260_bank,53.32519,-6.25544,0.0,3536.0,3231.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,2977.0,2702.0
650378458_bank,53.32552,-6.25489,0.0,3506.0,3199.0
612418021_bank,53.3473,-6.25341,0.0,2572.0,2404.0
646866967_bank,53.32438,-6.25236,0.0,3394.0,3082.0
291633761_bank,53.33744,-6.25138,0.0,2872.0,2425.0
298515362_bank,53.34977,-6.25019,0.0,2984.0,2697.0
558678481_bank,53.34427,-6.2494,0.0,2663.0,2334.0
565601399_bank,53.33631,-6.2477,0.0,2946.0,2633.0
1463130383_bank,53.38083,-6.24576,0.0,3861.0,3162.0
298526605_bank,53.39528,-6.24564,0.0,4329.0,3547.0
1336631745_bank,53.34822,-6.2456,0.0,3369.0,3011.0
1318857761_bank,53.30331,-6.24548,0.0,4096.0,4283.0
921832745_bank,53.46063,-6.24525,0.0,6136.0,5363.0
679924376_bank,53.34907,-6.24392,0.0,3508.0,3033.0
927235328_bank,53.45301,-6.2432,0.0,6083.0,6429.0
664821063_bank,53.32505,-6.24154,0.0,3377.0,2852.0
1496779540_bank,53.38174,-6.24144,0.0,3977.0,3581.0
1508853548_bank,53.36267,-6.2393,0.0,3158.0,3161.0
441994992_bank,53.36057,-6.23919,0.0,3214.0,2955.0
278007633_bank,53.43143,-6.22933,0.0,5539.0,4650.0
923913615_bank,53.45693,-6.22143,0.0,5721.0,4832.0
922022539_bank,53.45813,-6.22078,0.0,5866.0,4920.0
923907715_bank,53.45826,-6.22073,0.0,5835.0,4928.0
912784526_bank,53.45842,-6.2203,0.0,5799.0,4921.0
913431549_bank,53.46081,-6.21895,0.0,5945.0,5052.0
1500542352_bank,53.2781,-6.2173,0.0,4681.0,5030.0
1500542383_bank,53.27801,-6.21615,0.0,4741.0,5006.0
654042898_bank,53.33257,-6.21553,0.0,3559.0,3999.0
340118552_bank,53.30879,-6.21503,0.0,3426.0,3665.0
698677330_bank,53.31751,-6.20826,0.0,3647.0,3777.0
567038327_bank,53.27732,-6.20656,0.0,5065.0,4790.0
1241999449_bank,53.30216,-6.17914,0.0,4014.0,4515.0
662938379_bank,53.30176,-6.17782,0.0,3984.0,4594.0
662938724_bank,53.30119,-6.17733,0.0,4035.0,4644.0
662938676_bank,53.30127,-6.1771,0.0,4043.0,4642.0
1456300012_bank,53.38046,-6.17247,0.0,4695.0,4406.0
944053489_bank,53.45073,-6.15415,0.0,5822.0,6579.0
944053480_bank,53.45054,-6.15377,0.0,5874.0,6631.0
944053455_bank,53.45088,-6.15343,0.0,5861.0,6618.0
944053511_bank,53.45065,-6.15286,0.0,5902.0,6677.0
