label,lat,long,input
1485770446_supermarket,53.37128,-6.48830,0
664490914_supermarket,53.27938,-6.44540,0
335579068_supermarket,53.28043,-6.44502,0
597697553_supermarket,53.34069,-6.43222,0
1425052213_supermarket,53.28285,-6.42305,0
263367123_supermarket,53.34761,-6.42200,0
765685571_supermarket,53.39279,-6.42036,0
1264001281_supermarket,53.34762,-6.40780,0
658999939_supermarket,53.40303,-6.39849,0
1512943351_supermarket,53.34434,-6.39799,0
988852242_supermarket,53.39380,-6.39107,0
1076642051_supermarket,53.28640,-6.39040,0
988852237_supermarket,53.39173,-6.38824,0
681465300_supermarket,53.35403,-6.38735,0
1532673674_supermarket,53.39083,-6.38526,0
138099058_supermarket,53.41998,-6.38205,0
1171035974_supermarket,53.38878,-6.38084,0
681467039_supermarket,53.35019,-6.37994,0
249338235_supermarket,53.38618,-6.37881,0
983302034_supermarket,53.28347,-6.37591,0
770873264_supermarket,53.28699,-6.37304,0
1420913522_supermarket,53.27591,-6.36630,0
1424006106_supermarket,53.29880,-6.35987,0
662301991_supermarket,53.28119,-6.34189,0
778170439_supermarket,53.32411,-6.33613,0
441233509_supermarket,53.37632,-6.33313,0
1494358165_supermarket,53.29912,-6.32152,0
335980360_supermarket,53.33933,-6.31991,0
1500501199_supermarket,53.31555,-6.31833,0
257168820_supermarket,53.39869,-6.30460,0
739965045_supermarket,53.40314,-6.30313,0
147086244_supermarket,53.33032,-6.30131,0
1500342036_supermarket,53.29068,-6.29845,0
975302715_supermarket,53.34433,-6.29697,0
1425374426_supermarket,53.29747,-6.29678,0
1430847123_supermarket,53.33069,-6.29624,0
1426100407_supermarket,53.33664,-6.28749,0
325783580_supermarket,53.35631,-6.28675,0
518893601_supermarket,53.34699,-6.28235,0
1426048603_supermarket,53.34315,-6.28023,0
559286282_supermarket,53.34852,-6.27957,0
1226171155_supermarket,53.34275,-6.27878,0
370213860_supermarket,53.34929,-6.27839,0
768519995_supermarket,53.34964,-6.27673,0
584990883_supermarket,53.33789,-6.27668,0
956048077_supermarket,53.36230,-6.27316,0
659803043_supermarket,53.28966,-6.26781,0
971982648_supermarket,53.34652,-6.26750,0
564413752_supermarket,53.32227,-6.26590,0
507962496_supermarket,53.27766,-6.26570,0
582754944_supermarket,53.35086,-6.26563,0
470326920_supermarket,53.35042,-6.26559,0
1496722630_supermarket,53.38562,-6.26550,0
706180236_supermarket,53.32533,-6.26534,0
646873365_supermarket,53.33620,-6.26526,0
974547643_supermarket,53.34762,-6.26524,0
311344008_supermarket,53.34807,-6.26522,0
631980968_supermarket,53.34689,-6.26510,0
739756782_supermarket,53.33415,-6.26502,0
932249272_supermarket,53.32338,-6.26492,0
1426048599_supermarket,53.32527,-6.26482,0
311343801_supermarket,53.34844,-6.26432,0
311994584_supermarket,53.34290,-6.26420,0
434379754_supermarket,53.35156,-6.26381,0
1350207393_supermarket,53.35749,-6.26357,0
700430922_supermarket,53.35123,-6.26341,0
446781985_supermarket,53.34313,-6.26341,0
434379755_supermarket,53.35109,-6.26327,0
1350207380_supermarket,53.35948,-6.26126,0
1430847286_supermarket,53.33979,-6.26114,0
1496743860_supermarket,53.40394,-6.26070,0
1416733988_supermarket,53.29645,-6.26028,0
1155686452_supermarket,53.34567,-6.26016,0
677596889_supermarket,53.35031,-6.26013,0
566516597_supermarket,53.35486,-6.25721,0
565749701_supermarket,53.32106,-6.25608,0
311990203_supermarket,53.32572,-6.25506,0
907043575_supermarket,53.35317,-6.25465,0
492027541_supermarket,53.36937,-6.25404,0
560470679_supermarket,53.35116,-6.25241,0
1430846981_supermarket,53.33786,-6.25173,0
796766070_supermarket,53.29059,-6.24542,0
281174464_supermarket,53.34331,-6.24415,0
387223332_supermarket,53.34887,-6.24372,0
524319289_supermarket,53.45211,-6.24349,0
681742375_supermarket,53.39881,-6.24315,0
1416734129_supermarket,53.28679,-6.24218,0
648004328_supermarket,53.32415,-6.24011,0
281174255_supermarket,53.34324,-6.23883,0
1508870446_supermarket,53.37055,-6.23878,0
296449236_supermarket,53.44664,-6.23808,0
683113636_supermarket,53.30521,-6.23662,0
291594604_supermarket,53.34028,-6.23624,0
296511406_supermarket,53.47100,-6.23167,0
966238363_supermarket,53.39775,-6.23018,0
473396241_supermarket,53.46263,-6.22967,0
312568603_supermarket,53.34120,-6.22612,0
