label,lat,lon,input,to,from
d0,53.30486,-6.23569,0.0,2181.0,2471.0
d1,53.38266,-6.30551,0.0,1732.0,2109.0
d2,53.32806,-6.23716,0.0,-1.0,-1.0
d3,53.35354,-6.29147,0.0,1458.0,1439.0
d4,53.31757,-6.33888,0.0,5163.0,3535.0
d5,53.31352,-6.31688,0.0,-1.0,3119.0
d6,53.37018,-6.302,0.0,1439.0,1741.0
d7,53.32697,-6.31221,0.0,2638.0,1812.0
d8,53.38113,-6.33502,0.0,-1.0,-1.0
d9,53.36702,-6.29955,0.0,1426.0,2037.0
d10,53.30312,-6.33128,0.0,-1.0,-1.0
d11,53.37169,-6.33653,0.0,2361.0,2367.0
d12,53.33332,-6.2928,0.0,2450.0,2268.0
d13,53.34368,-6.28807,0.0,1650.0,1427.0
d14,53.33524,-6.27326,0.0,1754.0,1571.0
d15,53.35772,-6.3276,0.0,-1.0,-1.0
d16,53.37695,-6.27944,0.0,1419.0,1789.0
d17,53.29781,-6.35004,0.0,-1.0,-1.0
d18,53.33906,-6.2708,0.0,1494.0,951.0
d19,53.38337,-6.30673,0.0,-1.0,-1.0
d20,53.3308,-6.29828,0.0,2001.0,1673.0
d21,53.32775,-6.27792,0.0,1898.0,1851.0
d22,53.33836,-6.24868,0.0,1404.0,1409.0
d23,53.37353,-6.30405,0.0,1602.0,1892.0
d24,53.33459,-6.32642,0.0,2462.0,1701.0
d25,53.3418,-6.30072,0.0,2117.0,1951.0
d26,53.3666,-6.35062,0.0,2667.0,2691.0
d27,53.30698,-6.34024,0.0,2988.0,3450.0
d28,53.38568,-6.30709,0.0,-1.0,-1.0
d29,53.35568,-6.31362,0.0,-1.0,-1.0
d30,53.35791,-6.23832,0.0,-1.0,-1.0
d31,53.31475,-6.24201,0.0,3932.0,4215.0
d32,53.36073,-6.29601,0.0,1080.0,1169.0
d33,53.32066,-6.26629,0.0,1942.0,2135.0
d34,53.34989,-6.292,0.0,-1.0,-1.0
d35,53.3103,-6.33863,0.0,2912.0,3325.0
d36,53.36953,-6.24337,0.0,1661.0,3447.0
d37,53.30057,-6.27021,0.0,-1.0,-1.0
d38,53.37799,-6.27285,0.0,1455.0,1740.0
d39,53.32895,-6.33556,0.0,2432.0,1772.0
d40,53.30687,-6.29457,0.0,-1.0,-1.0
d41,53.28695,-6.27974,0.0,3108.0,3297.0
d42,53.35254,-6.27676,0.0,900.0,900.0
d43,53.28411,-6.23939,0.0,4418.0,5784.0
d44,53.3371,-6.26039,0.0,-1.0,-1.0
d45,53.34932,-6.34378,0.0,1962.0,1559.0
d46,53.29323,-6.25189,0.0,5381.0,3691.0
d47,53.34089,-6.26336,0.0,1248.0,1260.0
d48,53.36262,-6.26519,0.0,-1.0,-1.0
d49,53.30757,-6.28433,0.0,2400.0,2484.0
d50,53.28983,-6.25608,0.0,2852.0,3291.0
d51,53.31654,-6.29747,0.0,-1.0,2876.0
d52,53.38579,-6.32265,0.0,-1.0,-1.0
d53,53.31038,-6.24506,0.0,-1.0,-1.0
d54,53.36742,-6.28257,0.0,-1.0,-1.0
d55,53.36003,-6.33108,0.0,-1.0,-1.0
d56,53.34507,-6.24703,0.0,1393.0,1272.0
d57,53.35362,-6.29451,0.0,1463.0,2003.0
d58,53.36087,-6.3146,0.0,-1.0,-1.0
d59,53.38219,-6.25891,0.0,-1.0,-1.0
d60,53.3307,-6.34452,0.0,3268.0,2357.0
d61,53.32361,-6.25403,0.0,1782.0,1912.0
d62,53.2859,-6.30834,0.0,-1.0,-1.0
d63,53.34274,-6.25559,0.0,977.0,1468.0
d64,53.31971,-6.23869,0.0,-1.0,-1.0
d65,53.36013,-6.25977,0.0,1087.0,1084.0
d66,53.3026,-6.25008,0.0,-1.0,-1.0
d67,53.31445,-6.31425,0.0,3404.0,2984.0
d68,53.36541,-6.3215,0.0,-1.0,-1.0
d69,53.32626,-6.34473,0.0,2476.0,2842.0
d70,53.29325,-6.32689,0.0,-1.0,-1.0
d71,53.29872,-6.26555,0.0,5227.0,3297.0
d72,53.29119,-6.34595,0.0,-1.0,-1.0
d73,53.31268,-6.34592,0.0,-1.0,-1.0
d74,53.28674,-6.32867,0.0,3528.0,4409.0
d75,53.32161,-6.24995,0.0,1954.0,2028.0
d76,53.31038,-6.2749,0.0,2168.0,2605.0
d77,53.38011,-6.25911,0.0,-1.0,-1.0
d78,53.33675,-6.32063,0.0,2536.0,2621.0
d79,53.28956,-6.27479,0.0,2963.0,3417.0
d80,53.29327,-6.24459,0.0,4057.0,4365.0
d81,53.37229,-6.27593,0.0,-1.0,-1.0
d82,53.32486,-6.34949,0.0,3451.0,1890.0
d83,53.34644,-6.23453,0.0,1482.0,1757.0
d84,53.29415,-6.25401,0.0,-1.0,-1.0
d85,53.29961,-6.28368,0.0,2598.0,2769.0
d86,53.37858,-6.28783,0.0,1283.0,2198.0
d87,53.28858,-6.3092,0.0,4012.0,-1.0
d88,53.34748,-6.34652,0.0,2008.0,3467.0
d89,53.38709,-6.28058,0.0,1910.0,2422.0
d90,53.37508,-6.32495,0.0,2432.0,-1.0
d91,53.37982,-6.26227,0.0,1453.0,2484.0
d92,53.30193,-6.30988,0.0,2738.0,4854.0
d93,53.34094,-6.28506,0.0,-1.0,1696.0
d94,53.32208,-6.31817,0.0,2834.0,2486.0
d95,53.3833,-6.24726,0.0,1761.0,1962.0
d96,53.30396,-6.33497,0.0,-1.0,-1.0
d97,53.35663,-6.289,0.0,-1.0,-1.0
d98,53.34703,-6.31978,0.0,1570.0,1319.0
d99,53.37375,-6.31732,0.0,-1.0,-1.0
